"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"LS1";"WireConnection_1.00mmDrill";1;"Speaker";;;
2;"U3";"DIP8";1;"LM358";;;
3;"R15,R2";"RES.3";2;"20kΩ";;;
4;"STM1";"STM32_F4";1;"STM32_F407";;;
5;"C1";"CAP.1";1;"0.05uF";;;
6;"C2";"CAP_Pol_D6.3xH11.5xP2.0mm";1;"470uF";;;
7;"C3,C5";"CAP.1";2;"1nF";;;
8;"C4";"CAP_Pol_D6.3xH11.5xP2.0mm";1;"10uF";;;
9;"D1,D2";"DO41";2;"Diode";;;
10;"POT1";"Potentiometer_Alps_RK09K_Horizontal";1;"100kΩ";;;
11;"Q1,Q2,Q3,Q4,Q5";"TO92";5;"2N3904";;;
12;"R1";"RES.3";1;"10Ω";;;
13;"R3,R4,R5,R6,R14";"RES.3";5;"1kΩ";;;
14;"R7,R8,R9,R10,R11,R12,R13";"RES.3";7;"120Ω";;;
15;"R16";"RES.3";1;"200Ω";;;
16;"SW1,SW2,SW3,SW4,SW5";"SW_PUSH_6mm";5;"SW_Push";;;
17;"U1";"DIP8";1;"LM386";;;
18;"U2";"LTC-4727JR";1;"LTC-4727JR";;;
19;"MNT1,MNT2,MNT3,MNT4";"MountingHole_3.2mm_M3";4;"MountingHole_3.2mm_M3";;;
